target_date,decision_rule,documented_reason_text,reason_category,reason_classification_basis,missing_keys_on_target_date,missing_scope,sample_period,supported_keys_on_target_date,imputed
2026-03-26,6h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",3,partial_date_rule_absence,weather_plus_market_development,1,False
2026-03-27,12h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",2,partial_date_rule_absence,weather_plus_market_development,2,False
2026-03-27,6h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",2,partial_date_rule_absence,weather_plus_market_development,2,False
2026-03-28,12h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",1,partial_date_rule_absence,weather_plus_market_development,3,False
2026-03-29,12h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",2,partial_date_rule_absence,weather_plus_market_development,2,False
2026-03-29,6h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",2,partial_date_rule_absence,weather_plus_market_development,2,False
2026-03-30,12h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",3,partial_date_rule_absence,weather_plus_market_development,1,False
2026-03-30,6h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",3,partial_date_rule_absence,weather_plus_market_development,1,False
2026-03-30,event_day_open,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",3,partial_date_rule_absence,weather_plus_market_development,1,False
2026-04-01,event_day_open,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",1,partial_date_rule_absence,weather_plus_market_development,3,False
2026-04-02,24h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",1,partial_date_rule_absence,weather_plus_market_development,3,False
2026-06-24,6h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",1,partial_date_rule_absence,june_out_of_sample,3,False
